Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;gross margin percentage;gross income;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty;74.69;7;;5489715;05/01/2019;13:08:00;Ewallet;;261415;9.1
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;15.28;5;;8022;08/03/2019;10:29:00;Cash;;3.82;9.6
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;46.33;7;162155;3405255;03/03/2019;13:23:00;Credit card;4761904762;162155;7.4
123-19-1176;A;Yangon;Member;Male;Health and beauty;58.22;8;23288;489048;27/01/2019;20:33:00;Ewallet;4761904762;23288;8.4
373-73-7910;A;Yangon;Normal;Male;Sports and travel;86.31;7;302085;6343785;08/02/2019;10:37:00;Ewallet;;302085;5.3
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;298865;6276165;25/03/2019;18:30:00;Ewallet;4761904762;298865;4.1
355-53-5943;A;Yangon;Member;Female;Electronic accessories;68.84;6;20652;433692;25/02/2019;14:36:00;Ewallet;4761904762;20652;5.8
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;73.56;10;36.78;;24/02/2019;11:38:00;Ewallet;4761904762;36.78;8.0
665-32-9167;A;;Member;Female;Health and beauty;36.26;2;3626;76146;10/01/2019;17:15:00;Credit card;4761904762;3626;7.2
692-92-5582;B;Mandalay;Member;Female;Food and beverages;54.84;3;8226;172746;20/02/2019;13:27:00;Credit card;4761904762;8226;5.9
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;14.48;4;2896;;;18:07:00;Ewallet;4761904762;2896;4.5
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;25.51;4;5102;;;17:03:00;Cash;;;6.8
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;46.95;5;117375;2464875;12/02/2019;10:25:00;Ewallet;4761904762;117375;7.1
252-56-2699;A;Yangon;Normal;Male;Food and beverages;43.19;10;21595;453495;07/02/2019;16:48:00;Ewallet;4761904762;21595;8.2
829-34-3910;A;Yangon;Normal;Female;Health and beauty;71.38;10;35.69;74949;29/03/2019;19:21:00;Cash;4761904762;35.69;5.7
299-46-1805;B;Mandalay;Member;Female;Sports and travel;93.72;6;28116;590436;15/01/2019;16:19:00;Cash;4761904762;28116;4.5
656-95-9349;A;Yangon;Member;Female;Health and beauty;68.93;7;241255;5066355;11/03/2019;11:03:00;Credit card;4761904762;241255;4.6
765-26-6951;A;Yangon;Normal;Male;Sports and travel;72.61;6;21783;457443;01/01/2019;10:39:00;Credit card;4761904762;21783;6.9
329-62-1586;A;Yangon;Normal;Male;Food and beverages;54.67;3;82005;1722105;21/01/2019;18:00:00;Credit card;4761904762;82005;8.6
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40.3;2;4.03;8463;11/03/2019;15:30:00;Ewallet;4761904762;4.03;4.4
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;86.04;5;21.51;45171;25/02/2019;11:24:00;Ewallet;4761904762;21.51;4.8
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87.98;3;13197;277137;05/03/2019;10:40:00;Ewallet;4761904762;13197;5.1
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;33.2;2;3.32;6972;15/03/2019;12:20:00;Credit card;4761904762;3.32;4.4
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;34.56;5;8.64;18144;17/02/2019;11:15:00;Ewallet;4761904762;8.64;9.9
549-59-1358;A;Yangon;Member;Male;Sports and travel;88.63;3;132945;2791845;02/03/2019;17:36:00;Ewallet;4761904762;132945;6.0
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;52.59;8;21036;441756;22/03/2019;19:20:00;Credit card;4761904762;21036;8.5
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33.52;1;1676;35196;08/02/2019;15:31:00;Cash;4761904762;1676;6.7
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87.67;2;8767;184107;10/03/2019;12:17:00;Credit card;4761904762;8767;7.7
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88.36;5;22.09;463.89;25/01/2019;19:48:00;Cash;4761904762;22.09;9.6
848-62-7243;A;Yangon;Normal;Male;Health and beauty;24.89;9;112005;2352105;15/03/2019;15:36:00;Cash;4761904762;112005;7.4
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94.13;5;235325;4941825;25/02/2019;19:39:00;Credit card;4761904762;235325;4.8
149-71-6266;B;Mandalay;;Male;;78.07;;;7377615;28/01/2019;12:43:00;Cash;4761904762;351315;4.5
640-49-2076;B;Mandalay;;Male;Sports and travel;83.78;8;33512;703752;10/01/2019;14:49:00;Cash;4761904762;33512;5.1
595-11-5460;A;Yangon;;Male;Health and beauty;96.58;2;9658;202818;15/03/2019;10:12:00;Credit card;4761904762;9658;5.1
183-56-6882;C;Naypyitaw;;Female;Food and beverages;99.42;4;19884;417564;06/02/2019;10:42:00;Ewallet;4761904762;19884;7.5
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68.12;1;3406;71526;07/01/2019;12:28:00;Ewallet;4761904762;3406;6.8
129-29-8530;A;Yangon;Member;Male;Sports and travel;62.62;5;15655;328755;10/03/2019;19:15:00;Ewallet;4761904762;15655;7.0
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;60.88;9;27396;575316;15/01/2019;17:17:00;Ewallet;4761904762;27396;4.7
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21968;461328;23/03/2019;13:24:00;Ewallet;4761904762;21968;7.6
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;30.12;8;12048;253008;03/03/2019;13:01:00;Cash;4761904762;12048;7.7
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86.72;1;4336;91056;17/01/2019;18:45:00;Ewallet;4761904762;4336;7.9
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56.11;2;5611;117831;02/02/2019;10:11:00;Cash;4761904762;5611;6.3
354-25-5821;B;Mandalay;Member;Female;Sports and travel;69.12;6;20736;435456;08/02/2019;13:03:00;Cash;4761904762;20736;5.6
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98.7;8;39.48;829.08;04/03/2019;20:39:00;Cash;4761904762;39.48;7.6
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15.37;2;1537;32277;16/03/2019;19:47:00;Cash;4761904762;1537;7.2
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93.96;4;18792;394632;09/03/2019;18:00:00;Cash;4761904762;18792;9.5
370-41-7321;B;Mandalay;Member;Male;Health and beauty;56.69;9;255105;5357205;27/02/2019;17:24:00;Credit card;4761904762;255105;8.4
727-46-3608;B;Mandalay;Member;Female;Food and beverages;20.01;9;90045;1890945;06/02/2019;15:47:00;Ewallet;4761904762;90045;4.1
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18.93;6;5679;119259;10/02/2019;12:45:00;Credit card;4761904762;5679;8.1
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41315;867615;19/03/2019;17:08:00;Ewallet;4761904762;41315;7.9
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91.4;7;31.99;671.79;03/02/2019;10:19:00;Cash;4761904762;31.99;9.5
162-48-8011;A;Yangon;Member;Female;Food and beverages;44.59;5;111475;2340975;10/02/2019;15:10:00;Cash;4761904762;111475;8.5
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17.87;4;3574;75054;22/03/2019;14:42:00;Ewallet;4761904762;3574;6.5
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15.43;1;0.7715;162015;25/01/2019;15:46:00;Credit card;4761904762;0.7715;6.1
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1616;33936;07/03/2019;11:49:00;Ewallet;4761904762;1616;6.5
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34392;722232;28/02/2019;19:01:00;Cash;4761904762;34392;8.2
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44.34;2;4434;93114;27/03/2019;11:26:00;Cash;4761904762;4434;5.8
635-40-6220;A;Yangon;Normal;Male;Health and beauty;89.6;8;35.84;752.64;07/02/2019;11:28:00;Ewallet;4761904762;35.84;6.6
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;72.35;10;36175;759675;20/01/2019;15:55:00;Cash;4761904762;36175;5.4
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9183;192843;12/03/2019;20:36:00;Cash;4761904762;9183;9.3
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;24.74;3;3711;77931;15/02/2019;17:47:00;Credit card;4761904762;3711;10.0
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;55.73;6;16719;351099;24/02/2019;10:55:00;Ewallet;4761904762;16719;7.0
347-34-2234;B;Mandalay;Member;Female;Sports and travel;55.07;9;247815;5204115;03/02/2019;13:40:00;Ewallet;4761904762;247815;10.0
199-75-8169;A;Yangon;Member;Male;;;;7905;166005;06/03/2019;12:27:00;Credit card;4761904762;7905;8.6
853-23-2453;B;Mandalay;Member;Male;Health and beauty;75.74;4;15148;318108;14/02/2019;14:35:00;Cash;4761904762;15148;7.6
877-22-3308;A;Yangon;Member;Male;Health and beauty;15.87;10;7935;166635;13/03/2019;16:40:00;Cash;4761904762;7935;5.8
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33.47;2;3347;70287;10/02/2019;15:43:00;Ewallet;4761904762;3347;6.7
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97.61;6;29283;614943;07/01/2019;15:01:00;Ewallet;4761904762;29283;9.9
232-11-3025;A;Yangon;Normal;Male;Sports and travel;78.77;10;39385;827085;24/01/2019;10:04:00;Cash;4761904762;39385;6.4
382-03-4532;A;Yangon;Member;Female;Health and beauty;18.33;1;0.9165;192465;02/02/2019;18:50:00;Cash;4761904762;0.9165;4.3
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89.48;10;44.74;939.54;06/01/2019;12:46:00;Credit card;4761904762;44.74;9.6
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62.12;10;31.06;652.26;11/02/2019;16:19:00;Cash;4761904762;31.06;5.9
510-95-6347;B;Mandalay;Member;Female;Food and beverages;48.52;3;7278;152838;05/03/2019;18:17:00;Ewallet;4761904762;7278;4.0
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22773;478233;09/03/2019;18:21:00;Cash;4761904762;22773;8.7
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;74.67;9;336015;7056315;22/01/2019;10:55:00;Ewallet;4761904762;336015;9.4
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20825;437325;13/01/2019;17:04:00;Credit card;4761904762;20825;5.4
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49.04;9;22068;463428;09/01/2019;14:20:00;Credit card;4761904762;22068;8.6
381-20-0914;A;Yangon;Member;Female;Fashion accessories;20.01;9;90045;1890945;12/01/2019;15:48:00;Credit card;4761904762;90045;5.7
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78.31;10;39155;822255;05/03/2019;16:24:00;Ewallet;4761904762;39155;6.6
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;20.38;5;5095;106995;22/01/2019;18:56:00;Cash;4761904762;5095;6.0
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99.19;6;29757;624897;21/01/2019;14:42:00;Credit card;4761904762;29757;5.5
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96.68;3;14502;304542;26/01/2019;19:56:00;Ewallet;4761904762;14502;6.4
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;19.25;8;7.7;161.7;23/01/2019;18:37:00;Ewallet;4761904762;7.7;6.6
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80.36;4;16072;337512;23/02/2019;18:45:00;Credit card;4761904762;16072;8.3
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48.91;5;122275;2567775;09/03/2019;10:17:00;Cash;4761904762;122275;6.6
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83.06;7;29071;610491;05/03/2019;14:31:00;Ewallet;4761904762;29071;4.0
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76.52;5;19.13;401.73;25/03/2019;10:23:00;Cash;4761904762;19.13;9.9
633-44-8566;A;Yangon;Member;Male;Food and beverages;49.38;7;17283;362943;27/03/2019;20:35:00;Credit card;4761904762;17283;7.3
504-35-8843;A;Yangon;Normal;Male;Sports and travel;42.47;1;21235;445935;02/01/2019;16:57:00;Cash;4761904762;21235;5.7
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76.99;6;23097;485037;27/02/2019;17:55:00;Cash;4761904762;23097;6.1
